t,left,right,diff,valid
8.085,41.0,19.0,22.0,1
8.105,68.0,20.0,48.0,1
8.125,68.0,21.0,47.0,1
8.145,16.0,20.0,-4.0,1
8.165,32.0,20.0,12.0,1
8.185,52.0,20.0,32.0,1
8.206,200.0,20.0,180.0,1
8.226,67.0,21.0,46.0,1
8.246,83.0,20.0,63.0,1
8.266,52.0,20.0,32.0,1
8.286,18.0,20.0,-2.0,1
8.306,69.0,29.0,40.0,1
8.326,51.0,20.0,31.0,1
8.346,68.0,20.0,48.0,1
8.367,52.0,20.0,32.0,1
8.387,17.0,21.0,-4.0,1
8.407,17.0,20.0,-3.0,1
8.427,116.0,21.0,95.0,1
8.447,297.0,20.0,277.0,1
8.467,117.0,21.0,96.0,1
8.487,116.0,19.0,97.0,1
8.507,25.0,20.0,5.0,1
8.527,32.0,20.0,12.0,1
8.548,68.0,20.0,48.0,1
8.568,18.0,20.0,-2.0,1
8.588,100.0,18.0,82.0,1
8.608,233.0,19.0,214.0,1
8.628,34.0,20.0,14.0,1
8.648,68.0,20.0,48.0,1
8.668,60.0,19.0,41.0,1
8.688,17.0,21.0,-4.0,1
8.708,101.0,21.0,80.0,1
8.729,33.0,30.0,3.0,1
8.749,18.0,32.0,-14.0,1
8.769,58.0,20.0,38.0,1
8.789,17.0,21.0,-4.0,1
8.809,201.0,21.0,180.0,1
8.829,33.0,21.0,12.0,1
8.849,68.0,19.0,49.0,1
8.869,42.0,21.0,21.0,1
8.889,16.0,20.0,-4.0,1
8.91,52.0,20.0,32.0,1
8.93,17.0,20.0,-3.0,1
8.95,68.0,20.0,48.0,1
8.97,76.0,20.0,56.0,1
8.99,234.0,20.0,214.0,1
9.01,86.0,20.0,66.0,1
9.03,87.0,21.0,66.0,1
9.05,16.0,20.0,-4.0,1
9.07,17.0,28.0,-11.0,1
9.09,25.0,21.0,4.0,1
9.111,118.0,22.0,96.0,1
9.131,77.0,20.0,57.0,1
9.151,152.0,33.0,119.0,1
9.171,68.0,20.0,48.0,1
9.191,20.0,21.0,-1.0,1
9.211,41.0,20.0,21.0,1
9.231,41.0,20.0,21.0,1
9.251,101.0,21.0,80.0,1
9.271,68.0,20.0,48.0,1
9.291,17.0,20.0,-3.0,1
9.311,99.0,20.0,79.0,1
9.332,280.0,20.0,260.0,1
9.352,117.0,20.0,97.0,1
9.372,68.0,20.0,48.0,1
9.392,83.0,20.0,63.0,1
9.412,17.0,21.0,-4.0,1
9.432,17.0,21.0,-4.0,1
9.452,34.0,20.0,14.0,1
9.472,25.0,20.0,5.0,1
9.492,52.0,20.0,32.0,1
9.512,232.0,20.0,212.0,1
9.532,297.0,20.0,277.0,1
9.552,51.0,20.0,31.0,1
9.573,42.0,20.0,22.0,1
9.593,17.0,20.0,-3.0,1
9.613,16.0,21.0,-5.0,1
9.633,83.0,19.0,64.0,1
9.653,265.0,19.0,246.0,1
9.673,32.0,21.0,11.0,1
9.693,26.0,31.0,-5.0,1
9.713,84.0,33.0,51.0,1
9.733,89.0,25.0,64.0,1
9.754,51.0,20.0,31.0,1
9.774,100.0,19.0,81.0,1
9.794,17.0,20.0,-3.0,1
9.814,20.0,20.0,0.0,1
9.834,17.0,19.0,-2.0,1
9.854,67.0,20.0,47.0,1
9.874,84.0,20.0,64.0,1
9.894,330.0,20.0,310.0,1
9.914,51.0,20.0,31.0,1
9.934,82.0,20.0,62.0,1
9.955,17.0,21.0,-4.0,1
9.975,17.0,20.0,-3.0,1
9.995,69.0,21.0,48.0,1
10.015,17.0,20.0,-3.0,1
10.035,22.0,21.0,1.0,1
10.055,52.0,19.0,33.0,1
10.075,133.0,20.0,113.0,1
10.095,100.0,20.0,80.0,1
10.116,51.0,20.0,31.0,1
10.136,18.0,32.0,-14.0,1
10.156,41.0,22.0,19.0,1
10.176,17.0,20.0,-3.0,1
10.196,51.0,20.0,31.0,1
10.216,68.0,20.0,48.0,1
10.236,118.0,19.0,99.0,1
10.256,215.0,20.0,195.0,1
10.276,40.0,20.0,20.0,1
10.296,25.0,20.0,5.0,1
10.317,68.0,20.0,48.0,1
10.337,17.0,20.0,-3.0,1
10.357,100.0,19.0,81.0,1
10.377,17.0,20.0,-3.0,1
10.397,32.0,20.0,12.0,1
10.417,101.0,20.0,81.0,1
10.437,379.0,20.0,359.0,1
10.457,81.0,23.0,58.0,1
10.477,116.0,32.0,84.0,1
10.498,19.0,19.0,0.0,1
10.518,17.0,19.0,-2.0,1
10.538,84.0,20.0,64.0,1
10.558,182.0,20.0,162.0,1
10.578,51.0,20.0,31.0,1
10.598,25.0,20.0,5.0,1
10.618,41.0,18.0,23.0,1
10.638,17.0,19.0,-2.0,1
10.658,51.0,19.0,32.0,1
10.679,84.0,19.0,65.0,1
10.699,118.0,20.0,98.0,1
10.719,22.0,20.0,2.0,1
10.739,16.0,20.0,-4.0,1
10.759,17.0,20.0,-3.0,1
10.779,33.0,32.0,1.0,1
10.799,118.0,26.0,92.0,1
10.819,132.0,33.0,99.0,1
10.839,25.0,20.0,5.0,1
10.859,18.0,20.0,-2.0,1
10.88,17.0,20.0,-3.0,1
10.9,41.0,20.0,21.0,1
10.92,99.0,20.0,79.0,1
10.94,199.0,21.0,178.0,1
10.96,19.0,20.0,-1.0,1
10.98,17.0,20.0,-3.0,1
11.0,16.0,20.0,-4.0,1
11.02,67.0,20.0,47.0,1
11.04,85.0,20.0,65.0,1
11.06,150.0,20.0,130.0,1
11.081,25.0,19.0,6.0,1
11.101,19.0,20.0,-1.0,1
11.121,100.0,24.0,76.0,1
11.141,41.0,34.0,7.0,1
11.161,67.0,20.0,47.0,1
11.181,33.0,20.0,13.0,1
11.201,19.0,19.0,0.0,1
11.221,42.0,20.0,22.0,1
11.241,16.0,19.0,-3.0,1
11.262,40.0,20.0,20.0,1
11.282,232.0,20.0,212.0,1
11.302,16.0,20.0,-4.0,1
11.322,16.0,21.0,-5.0,1
11.342,32.0,17.0,15.0,1
11.362,16.0,19.0,-3.0,1
11.382,52.0,20.0,32.0,1
11.402,68.0,20.0,48.0,1
11.422,249.0,19.0,230.0,1
11.443,67.0,30.0,37.0,1
11.463,17.0,28.0,-11.0,1
11.483,52.0,32.0,20.0,1
11.503,16.0,19.0,-3.0,1
11.523,41.0,21.0,20.0,1
11.543,67.0,19.0,48.0,1
11.563,17.0,20.0,-3.0,1
11.583,17.0,19.0,-2.0,1
11.603,19.0,20.0,-1.0,1
11.624,18.0,19.0,-1.0,1
11.644,83.0,20.0,63.0,1
11.664,19.0,19.0,0.0,1
11.684,17.0,20.0,-3.0,1
11.704,98.0,19.0,79.0,1
11.724,17.0,19.0,-2.0,1
11.744,345.0,19.0,326.0,1
11.764,51.0,19.0,32.0,1
11.784,68.0,22.0,46.0,1
11.805,16.0,31.0,-15.0,1
11.825,111.0,20.0,91.0,1
11.845,280.0,20.0,260.0,1
11.865,165.0,19.0,146.0,1
11.885,115.0,20.0,95.0,1
11.905,295.0,19.0,276.0,1
11.925,265.0,20.0,245.0,1
11.945,16.0,20.0,-4.0,1
11.965,215.0,20.0,195.0,1
11.986,20.0,20.0,0.0,1
12.006,182.0,19.0,163.0,1
12.026,68.0,20.0,48.0,1
12.046,198.0,20.0,178.0,1
12.066,198.0,19.0,179.0,1
12.086,197.0,20.0,177.0,1
12.106,84.0,20.0,64.0,1
12.126,52.0,20.0,32.0,1
12.147,46.0,20.0,26.0,1
12.167,231.0,20.0,211.0,1
12.187,17.0,20.0,-3.0,1
12.207,215.0,22.0,193.0,1
12.227,377.0,20.0,357.0,1
12.247,148.0,20.0,128.0,1
12.267,116.0,19.0,97.0,1
12.287,215.0,20.0,195.0,1
12.307,16.0,21.0,-5.0,1
12.328,197.0,21.0,176.0,1
12.348,50.0,21.0,29.0,1
12.368,280.0,20.0,260.0,1
12.388,198.0,20.0,178.0,1
12.408,181.0,20.0,161.0,1
12.428,40.0,20.0,20.0,1
12.448,17.0,20.0,-3.0,1
12.468,83.0,21.0,62.0,1
12.488,297.0,21.0,276.0,1
12.509,214.0,20.0,194.0,1
12.529,231.0,31.0,200.0,1
12.549,215.0,21.0,194.0,1
12.569,166.0,33.0,133.0,1
12.589,82.0,20.0,62.0,1
12.609,148.0,20.0,128.0,1
12.63,231.0,20.0,211.0,1
12.65,215.0,20.0,195.0,1
12.67,16.0,20.0,-4.0,1
12.69,214.0,20.0,194.0,1
12.71,67.0,20.0,47.0,1
12.73,215.0,20.0,195.0,1
12.75,215.0,31.0,184.0,1
12.77,214.0,20.0,194.0,1
12.791,16.0,19.0,-3.0,1
12.811,17.0,20.0,-3.0,1
12.831,117.0,20.0,97.0,1
12.851,198.0,20.0,178.0,1
12.871,215.0,20.0,195.0,1
12.891,312.0,20.0,292.0,1
12.911,231.0,20.0,211.0,1
12.931,16.0,20.0,-4.0,1
12.951,100.0,20.0,80.0,1
12.972,18.0,20.0,-2.0,1
12.992,297.0,20.0,277.0,1
13.012,199.0,20.0,179.0,1
13.032,199.0,20.0,179.0,1
13.052,33.0,20.0,13.0,1
13.072,25.0,21.0,4.0,1
13.092,149.0,32.0,117.0,1
13.112,132.0,25.0,107.0,1
13.132,149.0,19.0,130.0,1
13.153,17.0,21.0,-4.0,1
13.173,16.0,20.0,-4.0,1
13.193,32.0,20.0,12.0,1
13.213,313.0,21.0,292.0,1
13.233,108.0,20.0,88.0,1
13.253,133.0,20.0,113.0,1
13.273,100.0,20.0,80.0,1
13.293,17.0,20.0,-3.0,1
13.314,83.0,20.0,63.0,1
13.334,17.0,20.0,-3.0,1
13.354,345.0,20.0,325.0,1
13.374,133.0,20.0,113.0,1
13.394,288.0,19.0,269.0,1
13.414,150.0,20.0,130.0,1
13.434,18.0,20.0,-2.0,1
13.454,134.0,20.0,114.0,1
13.474,17.0,20.0,-3.0,1
13.495,158.0,21.0,137.0,1
13.515,150.0,34.0,116.0,1
13.535,151.0,22.0,129.0,1
13.555,105.0,32.0,73.0,1
13.575,34.0,20.0,14.0,1
13.595,133.0,21.0,112.0,1
13.615,185.0,20.0,165.0,1
13.635,233.0,19.0,214.0,1
13.656,132.0,20.0,112.0,1
13.676,118.0,20.0,98.0,1
13.696,152.0,22.0,130.0,1
13.716,17.0,21.0,-4.0,1
13.736,217.0,20.0,197.0,1
13.756,207.0,21.0,186.0,1
13.776,151.0,21.0,130.0,1
13.796,151.0,20.0,131.0,1
13.816,184.0,21.0,163.0,1
13.836,33.0,20.0,13.0,1
13.857,202.0,20.0,182.0,1
13.877,168.0,22.0,146.0,1
13.897,70.0,21.0,49.0,1
13.917,175.0,20.0,155.0,1
13.937,362.0,20.0,342.0,1
13.957,150.0,19.0,131.0,1
13.977,184.0,21.0,163.0,1
13.997,183.0,21.0,162.0,1
14.017,209.0,20.0,189.0,1
14.038,167.0,20.0,147.0,1
14.058,152.0,34.0,118.0,1
14.078,68.0,20.0,48.0,1
14.098,217.0,20.0,197.0,1
14.118,55.0,21.0,34.0,1
14.138,199.0,20.0,179.0,1
14.158,182.0,19.0,163.0,1
14.178,329.0,20.0,309.0,1
14.198,165.0,21.0,144.0,1
14.218,239.0,20.0,219.0,1
14.238,199.0,21.0,178.0,1
14.259,16.0,19.0,-3.0,1
14.279,183.0,20.0,163.0,1
14.299,458.0,21.0,437.0,1
14.319,485.0,20.0,465.0,1
14.339,199.0,21.0,178.0,1
14.359,208.0,20.0,188.0,1
14.379,83.0,20.0,63.0,1
14.399,165.0,20.0,145.0,1
14.419,182.0,20.0,162.0,1
14.439,378.0,20.0,358.0,1
14.459,237.0,20.0,217.0,1
14.479,232.0,20.0,212.0,1
14.499,166.0,20.0,146.0,1
14.52,182.0,20.0,162.0,1
14.54,296.0,20.0,276.0,1
14.56,181.0,20.0,161.0,1
14.58,232.0,20.0,212.0,1
14.6,231.0,20.0,211.0,1
14.62,17.0,20.0,-3.0,1
14.64,165.0,21.0,144.0,1
14.66,182.0,21.0,161.0,1
14.68,606.0,20.0,586.0,1
14.7,215.0,21.0,194.0,1
14.72,508.0,33.0,475.0,1
14.74,16.0,28.0,-12.0,1
14.76,182.0,20.0,162.0,1
14.781,182.0,20.0,162.0,1
14.801,214.0,19.0,195.0,1
14.821,214.0,20.0,194.0,1
14.841,605.0,20.0,585.0,1
14.861,264.0,19.0,245.0,1
14.881,197.0,20.0,177.0,1
14.901,183.0,20.0,163.0,1
14.921,100.0,19.0,81.0,1
14.941,216.0,34.0,182.0,1
14.961,166.0,30.0,136.0,1
14.981,183.0,20.0,163.0,1
15.001,181.0,21.0,160.0,1
15.021,99.0,20.0,79.0,1
15.042,427.0,20.0,407.0,1
15.062,215.0,20.0,195.0,1
15.082,328.0,20.0,308.0,1
15.102,174.0,21.0,153.0,1
15.122,25.0,20.0,5.0,1
15.142,198.0,20.0,178.0,1
15.162,101.0,20.0,81.0,1
15.182,198.0,20.0,178.0,1
15.202,551.0,20.0,531.0,1
15.223,623.0,20.0,603.0,1
15.243,150.0,20.0,130.0,1
15.263,264.0,21.0,243.0,1
15.283,83.0,19.0,64.0,1
15.303,17.0,22.0,-5.0,1
15.323,148.0,19.0,129.0,1
15.343,394.0,20.0,374.0,1
15.363,190.0,20.0,170.0,1
15.383,394.0,19.0,375.0,1
15.404,232.0,20.0,212.0,1
