t,left,right,diff,valid
9.431,344.0,20.0,324.0,1
9.452,51.0,20.0,31.0,1
9.472,17.0,19.0,-2.0,1
9.492,232.0,21.0,211.0,1
9.512,575.0,20.0,555.0,1
9.532,232.0,20.0,212.0,1
9.552,575.0,20.0,555.0,1
9.572,296.0,19.0,277.0,1
9.592,216.0,20.0,196.0,1
9.613,232.0,20.0,212.0,1
9.633,248.0,20.0,228.0,1
9.653,330.0,32.0,298.0,1
9.673,298.0,24.0,274.0,1
9.693,83.0,32.0,51.0,1
9.713,219.0,20.0,199.0,1
9.733,101.0,20.0,81.0,1
9.753,884.0,20.0,864.0,1
9.773,330.0,20.0,310.0,1
9.794,851.0,20.0,831.0,1
9.814,286.0,20.0,266.0,1
9.834,17.0,20.0,-3.0,1
9.854,265.0,20.0,245.0,1
9.874,18.0,20.0,-2.0,1
9.894,329.0,19.0,310.0,1
9.914,297.0,20.0,277.0,1
9.934,946.0,20.0,926.0,1
9.954,249.0,19.0,230.0,1
9.975,337.0,20.0,317.0,1
9.995,232.0,20.0,212.0,1
10.015,150.0,20.0,130.0,1
10.035,314.0,21.0,293.0,1
10.055,247.0,20.0,227.0,1
10.075,274.0,20.0,254.0,1
10.095,265.0,32.0,233.0,1
10.115,314.0,28.0,286.0,1
10.135,314.0,21.0,293.0,1
10.156,591.0,20.0,571.0,1
10.176,248.0,20.0,228.0,1
10.196,265.0,20.0,245.0,1
10.216,281.0,19.0,262.0,1
10.236,258.0,19.0,239.0,1
10.256,313.0,20.0,293.0,1
10.276,249.0,21.0,228.0,1
10.296,508.0,21.0,487.0,1
10.316,264.0,20.0,244.0,1
10.337,935.0,20.0,915.0,1
10.357,346.0,20.0,326.0,1
10.377,282.0,20.0,262.0,1
10.397,272.0,20.0,252.0,1
10.417,17.0,20.0,-3.0,1
10.437,267.0,22.0,245.0,1
10.457,299.0,20.0,279.0,1
10.477,821.0,20.0,801.0,1
10.497,339.0,20.0,319.0,1
10.517,380.0,34.0,346.0,1
10.538,282.0,28.0,254.0,1
10.558,281.0,20.0,261.0,1
10.578,265.0,34.0,231.0,1
10.598,356.0,20.0,336.0,1
10.618,347.0,20.0,327.0,1
10.638,267.0,20.0,247.0,1
10.658,85.0,21.0,64.0,1
10.678,282.0,20.0,262.0,1
10.698,671.0,20.0,651.0,1
10.719,838.0,20.0,818.0,1
10.739,347.0,19.0,328.0,1
10.759,447.0,21.0,426.0,1
10.779,134.0,20.0,114.0,1
10.799,282.0,20.0,262.0,1
10.819,282.0,20.0,262.0,1
10.839,641.0,20.0,621.0,1
10.859,354.0,31.0,323.0,1
10.879,933.0,198.0,735.0,1
10.899,609.0,31.0,578.0,1
10.92,282.0,20.0,262.0,1
10.94,281.0,87.0,194.0,1
10.96,232.0,20.0,212.0,1
10.98,298.0,19.0,279.0,1
11.0,347.0,20.0,327.0,1
11.02,477.0,20.0,457.0,1
11.04,281.0,19.0,262.0,1
11.06,280.0,20.0,260.0,1
11.08,413.0,20.0,393.0,1
11.101,347.0,20.0,327.0,1
11.121,641.0,20.0,621.0,1
11.141,282.0,20.0,262.0,1
11.161,234.0,20.0,214.0,1
11.181,298.0,21.0,277.0,1
11.201,134.0,20.0,114.0,1
11.221,364.0,22.0,342.0,1
11.241,544.0,20.0,524.0,1
11.261,963.0,20.0,943.0,1
11.281,298.0,19.0,279.0,1
11.302,790.0,19.0,771.0,1
11.322,249.0,21.0,228.0,1
11.342,168.0,21.0,147.0,1
11.362,364.0,20.0,344.0,1
11.382,275.0,20.0,255.0,1
11.402,298.0,20.0,278.0,1
11.422,901.0,20.0,881.0,1
11.442,529.0,19.0,510.0,1
11.462,381.0,21.0,360.0,1
11.483,368.0,20.0,348.0,1
11.503,346.0,19.0,327.0,1
11.523,315.0,20.0,295.0,1
11.543,315.0,20.0,295.0,1
11.563,315.0,20.0,295.0,1
11.583,396.0,20.0,376.0,1
11.603,379.0,354.0,25.0,1
11.623,264.0,24.0,240.0,1
11.643,323.0,32.0,291.0,1
11.663,916.0,61.0,855.0,1
11.684,328.0,20.0,308.0,1
11.704,363.0,20.0,343.0,1
11.724,378.0,20.0,358.0,1
11.744,241.0,20.0,221.0,1
11.764,297.0,20.0,277.0,1
11.784,330.0,20.0,310.0,1
11.804,916.0,20.0,896.0,1
11.824,394.0,20.0,374.0,1
11.844,672.0,21.0,651.0,1
11.865,361.0,21.0,340.0,1
11.885,199.0,20.0,179.0,1
11.905,330.0,20.0,310.0,1
11.925,232.0,20.0,212.0,1
11.945,361.0,19.0,342.0,1
11.965,395.0,21.0,374.0,1
