t,label,mode,state,reason,left_cmd,right_cmd,motor_enabled,healthy,vision_sequence,vision_status,vision_has_good,vision_has_bad,probe_state,probe_source_direction,probe_turn_direction,enemy_slow,enemy_confirmed,probe_vision_count,probe_vision_verdict,shovel_state,shovel_active,ir_front,ir_left_front,ir_right_front,ir_left_rear,ir_right_rear,ir_rear,gray_front,gray_rear,gray_left,gray_right,shovel_left,shovel_right
0.773,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,760.0,1018.0,1082.0,992.0,225.0,1026.0
0.794,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,759.0,1015.0,1079.0,989.0,392.0,1026.0
0.814,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,759.0,1016.0,1080.0,990.0,229.0,1024.0
0.834,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,758.0,1015.0,1079.0,989.0,358.0,1025.0
0.854,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,758.0,1015.0,1079.0,989.0,358.0,1025.0
0.874,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,759.0,1015.0,1079.0,988.0,423.0,1026.0
0.894,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,758.0,1014.0,1078.0,988.0,770.0,1024.0
0.914,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,759.0,1017.0,1080.0,990.0,1121.0,1028.0
0.935,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,756.0,1011.0,1076.0,986.0,358.0,1026.0
0.955,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,759.0,1015.0,1079.0,989.0,493.0,1024.0
0.975,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,760.0,1018.0,1082.0,992.0,360.0,1024.0
0.995,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,760.0,1017.0,1082.0,991.0,637.0,1026.0
1.015,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,758.0,1016.0,1080.0,990.0,604.0,1027.0
1.035,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,760.0,1017.0,1082.0,991.0,229.0,1025.0
1.056,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,759.0,1015.0,1079.0,992.0,359.0,1021.0
1.076,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,759.0,1016.0,1079.0,989.0,242.0,1042.0
1.096,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,758.0,1015.0,1079.0,989.0,224.0,1026.0
