t,left,right,diff,valid
5.272,17.0,19.0,-2.0,1
5.292,17.0,20.0,-3.0,1
5.312,26.0,20.0,6.0,1
5.332,17.0,20.0,-3.0,1
5.352,16.0,21.0,-5.0,1
5.373,17.0,19.0,-2.0,1
5.393,19.0,20.0,-1.0,1
5.413,17.0,20.0,-3.0,1
5.433,17.0,20.0,-3.0,1
5.453,27.0,20.0,7.0,1
5.473,17.0,20.0,-3.0,1
5.493,24.0,22.0,2.0,1
5.513,17.0,20.0,-3.0,1
5.533,17.0,20.0,-3.0,1
5.553,16.0,19.0,-3.0,1
5.574,17.0,20.0,-3.0,1
5.594,25.0,28.0,-3.0,1
5.614,16.0,19.0,-3.0,1
5.634,17.0,20.0,-3.0,1
5.654,23.0,20.0,3.0,1
5.674,17.0,20.0,-3.0,1
5.694,17.0,20.0,-3.0,1
5.714,16.0,20.0,-4.0,1
5.734,16.0,21.0,-5.0,1
5.754,21.0,20.0,1.0,1
5.775,26.0,20.0,6.0,1
5.795,16.0,20.0,-4.0,1
5.815,33.0,20.0,13.0,1
5.835,17.0,21.0,-4.0,1
5.855,24.0,20.0,4.0,1
5.875,18.0,21.0,-3.0,1
5.895,17.0,32.0,-15.0,1
5.915,19.0,20.0,-1.0,1
5.935,16.0,20.0,-4.0,1
5.956,52.0,20.0,32.0,1
5.976,17.0,20.0,-3.0,1
5.996,17.0,21.0,-4.0,1
6.016,17.0,20.0,-3.0,1
6.036,17.0,20.0,-3.0,1
6.056,16.0,20.0,-4.0,1
6.076,16.0,20.0,-4.0,1
6.096,16.0,20.0,-4.0,1
6.116,23.0,20.0,3.0,1
6.136,17.0,20.0,-3.0,1
6.157,16.0,23.0,-7.0,1
6.177,17.0,20.0,-3.0,1
6.197,16.0,20.0,-4.0,1
6.217,17.0,20.0,-3.0,1
6.237,16.0,20.0,-4.0,1
6.257,17.0,24.0,-7.0,1
6.277,16.0,20.0,-4.0,1
6.297,17.0,20.0,-3.0,1
6.317,18.0,20.0,-2.0,1
6.338,17.0,20.0,-3.0,1
6.358,17.0,20.0,-3.0,1
6.378,22.0,21.0,1.0,1
6.398,16.0,20.0,-4.0,1
6.418,17.0,20.0,-3.0,1
6.438,17.0,20.0,-3.0,1
6.458,16.0,21.0,-5.0,1
6.478,25.0,20.0,5.0,1
6.499,16.0,21.0,-5.0,1
6.519,17.0,20.0,-3.0,1
6.539,16.0,20.0,-4.0,1
6.559,16.0,21.0,-5.0,1
6.579,25.0,32.0,-7.0,1
6.599,16.0,29.0,-13.0,1
6.619,17.0,20.0,-3.0,1
6.639,20.0,20.0,0.0,1
6.659,16.0,20.0,-4.0,1
6.68,17.0,21.0,-4.0,1
6.7,17.0,19.0,-2.0,1
6.72,17.0,20.0,-3.0,1
6.74,17.0,20.0,-3.0,1
6.76,16.0,20.0,-4.0,1
6.78,25.0,20.0,5.0,1
6.8,25.0,21.0,4.0,1
6.82,16.0,20.0,-4.0,1
6.841,19.0,20.0,-1.0,1
6.861,17.0,20.0,-3.0,1
6.881,16.0,20.0,-4.0,1
6.901,16.0,21.0,-5.0,1
6.921,17.0,20.0,-3.0,1
6.941,16.0,21.0,-5.0,1
6.961,16.0,20.0,-4.0,1
6.981,84.0,21.0,63.0,1
7.001,16.0,26.0,-10.0,1
7.022,17.0,32.0,-15.0,1
