t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,adc_left,adc_right,adc_signal_raw,diff,state,reason,left_cmd,right_cmd,healthy
0.744,550.0,750.0,357.0,1026.0,-0.3156,-0.1068,-0.2758,-0.2443,1,0,1,0,0,0,0,0,1,365.0,20.0,365.0,345.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
0.764,546.0,749.0,354.0,1024.0,-0.3156,-0.1068,-0.2813,-0.2443,1,0,1,0,0,0,0,0,1,365.0,23.0,365.0,342.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
0.785,548.0,755.0,356.0,1030.0,-0.3211,-0.1046,-0.2841,-0.2443,1,0,1,0,0,0,0,0,1,704.0,21.0,704.0,683.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
0.805,546.0,753.0,356.0,1030.0,-0.3265,-0.098,-0.2841,-0.2359,1,0,1,0,0,0,0,0,1,298.0,21.0,298.0,277.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
0.825,544.0,753.0,355.0,1027.0,-0.3265,-0.098,-0.2841,-0.2359,1,0,1,0,0,0,0,0,1,366.0,22.0,366.0,344.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
0.845,545.0,756.0,355.0,1031.0,-0.3293,-0.098,-0.2869,-0.2359,1,0,1,0,0,0,0,0,1,363.0,21.0,363.0,342.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
0.865,546.0,755.0,355.0,1032.0,-0.3293,-0.0937,-0.2869,-0.2338,1,0,1,0,0,0,0,0,1,444.0,20.0,444.0,424.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
0.885,546.0,757.0,355.0,1030.0,-0.3265,-0.0915,-0.2869,-0.2338,1,0,1,0,0,0,0,0,1,363.0,21.0,363.0,342.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
0.905,546.0,758.0,356.0,1032.0,-0.3265,-0.0893,-0.2869,-0.2317,1,0,1,0,0,0,0,0,1,299.0,21.0,299.0,278.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
0.926,544.0,758.0,355.0,1032.0,-0.3265,-0.0871,-0.2869,-0.2317,1,0,1,0,0,0,0,0,1,477.0,20.0,477.0,457.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
0.946,540.0,758.0,354.0,1032.0,-0.332,-0.0871,-0.2869,-0.2317,1,0,1,0,0,0,0,0,1,283.0,22.0,283.0,261.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
0.966,536.0,755.0,353.0,1029.0,-0.3429,-0.0871,-0.2897,-0.2317,1,0,1,0,0,0,0,0,1,315.0,22.0,315.0,293.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
0.986,533.0,754.0,352.0,1030.0,-0.3537,-0.0937,-0.2925,-0.2359,1,0,1,0,0,0,0,0,1,381.0,23.0,381.0,358.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
1.006,528.0,749.0,354.0,1035.0,-0.3619,-0.0959,-0.2925,-0.2359,1,0,1,0,0,0,0,0,1,444.0,18.0,444.0,426.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
1.026,533.0,742.0,353.0,1038.0,-0.3619,-0.1068,-0.2925,-0.2255,1,0,1,0,0,0,0,0,1,315.0,21.0,315.0,294.0,ADC_APPROACH,ADC 信号弱 283，靠墙脉冲 2/3,400,400,1
1.046,550.0,729.0,349.0,1043.0,-0.3619,-0.122,-0.2925,-0.2192,1,0,1,0,0,0,0,0,1,332.0,20.0,332.0,312.0,ADC_CORRECT,靠墙脉冲完成，重新采样,0,0,1
1.066,560.0,721.0,348.0,1036.0,-0.3156,-0.1503,-0.3036,-0.2192,1,0,1,0,0,0,0,0,1,332.0,21.0,332.0,311.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
1.087,561.0,726.0,350.0,1033.0,-0.2884,-0.1569,-0.3036,-0.2234,1,0,1,0,0,0,0,0,1,380.0,22.0,380.0,358.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
1.107,561.0,726.0,350.0,1033.0,-0.2857,-0.1569,-0.3008,-0.2296,1,0,1,0,0,0,0,0,1,380.0,22.0,380.0,358.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
1.127,564.0,730.0,356.0,1043.0,-0.2857,-0.1569,-0.3008,-0.2296,1,0,1,0,0,0,0,0,1,544.0,21.0,544.0,523.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
1.147,561.0,729.0,360.0,1047.0,-0.2857,-0.1503,-0.2841,-0.2088,1,0,1,0,0,0,0,0,1,429.0,22.0,429.0,407.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
1.167,556.0,733.0,362.0,1035.0,-0.2857,-0.1481,-0.273,-0.2088,1,0,1,0,0,0,0,0,1,348.0,21.0,348.0,327.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
1.187,552.0,738.0,361.0,1024.0,-0.2993,-0.1416,-0.2702,-0.2255,1,0,1,0,0,0,0,0,1,380.0,20.0,380.0,360.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
1.207,548.0,742.0,361.0,1033.0,-0.3102,-0.1307,-0.2702,-0.2296,1,0,1,0,0,0,0,0,1,400.0,636.0,636.0,-236.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
1.228,545.0,739.0,359.0,1050.0,-0.3211,-0.1285,-0.2702,-0.2296,1,0,1,0,0,0,0,0,1,658.0,241.0,658.0,417.0,ADC_CORRECT,ADC 正对确认 1/3，diff=358,0,0,1
1.248,544.0,743.0,363.0,1066.0,-0.3293,-0.122,-0.2702,-0.1942,1,0,1,0,0,0,0,0,1,476.0,20.0,476.0,456.0,ADC_CORRECT,ADC 正对确认 2/3，diff=378,0,0,1
1.268,543.0,744.0,362.0,1073.0,-0.332,-0.1198,-0.2674,-0.1608,1,0,1,0,0,0,0,0,1,381.0,21.0,381.0,360.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.288,542.0,744.0,363.0,1075.0,-0.3347,-0.1176,-0.2646,-0.1461,1,0,1,0,0,0,0,0,1,414.0,22.0,414.0,392.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.308,541.0,745.0,363.0,1077.0,-0.3374,-0.1176,-0.2646,-0.142,1,0,1,0,0,0,0,0,1,348.0,21.0,348.0,327.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.328,541.0,745.0,363.0,1076.0,-0.3401,-0.1155,-0.2646,-0.1399,1,0,1,0,0,0,0,0,1,412.0,20.0,412.0,392.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.348,540.0,746.0,362.0,1077.0,-0.3401,-0.1155,-0.2646,-0.1378,1,0,1,0,0,0,0,0,1,495.0,20.0,495.0,475.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.368,542.0,748.0,363.0,1078.0,-0.3401,-0.1133,-0.2646,-0.1378,1,0,1,0,0,0,0,0,1,696.0,20.0,696.0,676.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.389,541.0,747.0,363.0,1077.0,-0.3401,-0.1111,-0.2646,-0.1378,1,0,1,0,0,0,0,0,1,478.0,22.0,478.0,456.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.409,541.0,748.0,362.0,1078.0,-0.3401,-0.1089,-0.2646,-0.1357,1,0,1,0,0,0,0,0,1,397.0,22.0,397.0,375.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.429,542.0,747.0,364.0,1078.0,-0.3401,-0.1111,-0.2646,-0.1357,1,0,1,0,0,0,0,0,1,412.0,21.0,412.0,391.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.449,541.0,747.0,363.0,1076.0,-0.3401,-0.1111,-0.2646,-0.1357,1,0,1,0,0,0,0,0,1,363.0,21.0,363.0,342.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.469,542.0,745.0,362.0,1070.0,-0.3374,-0.1111,-0.2646,-0.1399,1,0,1,0,0,0,0,0,1,493.0,22.0,493.0,471.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.49,542.0,743.0,360.0,1060.0,-0.3374,-0.1155,-0.2674,-0.1524,1,0,1,0,0,0,0,0,1,479.0,26.0,479.0,453.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.51,542.0,743.0,360.0,1060.0,-0.3374,-0.1198,-0.273,-0.1733,1,0,1,0,0,0,0,0,1,479.0,26.0,479.0,453.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.53,542.0,741.0,360.0,1044.0,-0.3374,-0.1198,-0.273,-0.1733,1,0,1,0,0,0,0,0,1,430.0,373.0,430.0,57.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.55,544.0,737.0,360.0,1026.0,-0.3374,-0.1242,-0.273,-0.2067,1,0,1,0,0,0,0,0,1,396.0,21.0,396.0,375.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.57,547.0,729.0,357.0,1027.0,-0.332,-0.1329,-0.273,-0.2422,1,0,1,0,0,0,0,0,1,382.0,22.0,382.0,360.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.59,555.0,725.0,358.0,1042.0,-0.3238,-0.1503,-0.2786,-0.2422,1,0,1,0,0,0,0,0,1,478.0,21.0,478.0,457.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.611,560.0,723.0,353.0,1051.0,-0.302,-0.159,-0.2813,-0.2109,1,0,1,0,0,0,0,0,1,444.0,21.0,444.0,423.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.631,563.0,722.0,348.0,1046.0,-0.2884,-0.1634,-0.2925,-0.2025,1,0,1,0,0,0,0,0,1,397.0,20.0,397.0,377.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
