t,left,right,valid
5.87,1218.0,1290.0,1
5.89,1219.0,1306.0,1
5.91,1216.0,1290.0,1
5.93,1217.0,1290.0,1
5.951,1218.0,1306.0,1
5.971,1217.0,1287.0,1
5.991,1216.0,1290.0,1
6.011,1218.0,1290.0,1
6.031,1218.0,1288.0,1
6.051,1220.0,1289.0,1
6.071,1216.0,1289.0,1
6.091,1218.0,1290.0,1
6.112,1218.0,1288.0,1
6.132,1218.0,1289.0,1
6.152,1224.0,1290.0,1
6.172,1218.0,1289.0,1
6.192,1219.0,1295.0,1
6.212,1218.0,1290.0,1
6.232,1233.0,1290.0,1
6.252,1218.0,1287.0,1
6.273,1217.0,1288.0,1
6.293,1222.0,1290.0,1
6.313,1218.0,1291.0,1
6.333,1218.0,1289.0,1
6.353,1218.0,1289.0,1
6.373,1222.0,1290.0,1
6.393,1218.0,1289.0,1
6.413,1218.0,1289.0,1
6.433,1217.0,1290.0,1
6.454,1222.0,1290.0,1
6.474,1219.0,1289.0,1
6.494,1218.0,1286.0,1
6.514,1217.0,1290.0,1
6.534,1218.0,1290.0,1
6.554,1218.0,1286.0,1
6.574,1218.0,1288.0,1
6.594,1217.0,1290.0,1
6.615,1233.0,1287.0,1
6.635,1218.0,1288.0,1
6.655,1217.0,1289.0,1
6.675,1217.0,1291.0,1
6.695,1234.0,1289.0,1
6.715,1218.0,1289.0,1
6.735,1217.0,1290.0,1
6.755,1217.0,1290.0,1
6.776,1234.0,1289.0,1
6.796,1234.0,1285.0,1
6.816,1233.0,1290.0,1
6.836,1217.0,1290.0,1
6.856,1234.0,1285.0,1
6.876,1232.0,1290.0,1
6.896,1217.0,1290.0,1
6.916,1217.0,1287.0,1
6.936,1218.0,1288.0,1
6.957,1216.0,1291.0,1
6.977,1217.0,1291.0,1
6.997,1233.0,1289.0,1
7.017,1234.0,1289.0,1
7.037,1233.0,1290.0,1
7.057,1232.0,1291.0,1
7.077,1219.0,1288.0,1
7.097,1218.0,1289.0,1
7.117,1222.0,1290.0,1
7.138,1216.0,1290.0,1
7.158,1233.0,1286.0,1
7.178,1219.0,1290.0,1
7.198,1223.0,1290.0,1
7.218,1218.0,1305.0,1
7.238,1218.0,1287.0,1
7.258,1218.0,1290.0,1
7.278,1224.0,1290.0,1
7.298,1234.0,1288.0,1
7.319,1218.0,1289.0,1
7.339,1233.0,1290.0,1
7.359,1232.0,1289.0,1
7.379,1219.0,1289.0,1
7.399,1218.0,1290.0,1
7.419,1232.0,1290.0,1
7.439,1239.0,1289.0,1
7.459,1219.0,1306.0,1
7.479,1233.0,1290.0,1
7.5,1218.0,1290.0,1
7.52,1233.0,1321.0,1
7.54,1218.0,1287.0,1
7.56,1234.0,1290.0,1
7.58,1233.0,1290.0,1
7.6,1234.0,1285.0,1
7.62,1233.0,1290.0,1
7.64,1232.0,1290.0,1
7.66,1233.0,1286.0,1
7.681,1234.0,1288.0,1
7.701,1234.0,1290.0,1
7.721,1232.0,1290.0,1
7.741,1233.0,1289.0,1
7.761,1218.0,1289.0,1
7.781,1234.0,1290.0,1
7.801,1216.0,1290.0,1
7.821,1232.0,1289.0,1
7.841,1218.0,1289.0,1
7.862,1222.0,1290.0,1
7.882,1217.0,1290.0,1
7.902,1218.0,1286.0,1
7.922,1218.0,1289.0,1
7.942,1219.0,1291.0,1
7.962,1216.0,1306.0,1
7.982,1218.0,1287.0,1
8.002,1219.0,1290.0,1
8.022,1218.0,1290.0,1
8.042,1216.0,1288.0,1
8.063,1218.0,1288.0,1
8.083,1218.0,1291.0,1
8.103,1218.0,1289.0,1
8.123,1216.0,1289.0,1
8.143,1218.0,1290.0,1
8.163,1218.0,1291.0,1
8.183,1218.0,1289.0,1
8.203,1218.0,1289.0,1
8.223,1218.0,1290.0,1
8.244,1217.0,1290.0,1
8.264,1218.0,1289.0,1
8.284,1233.0,1285.0,1
8.304,1217.0,1290.0,1
8.324,1217.0,1291.0,1
8.344,1217.0,1285.0,1
8.364,1233.0,1290.0,1
8.384,1233.0,1290.0,1
8.404,1233.0,1305.0,1
8.424,1218.0,1288.0,1
8.445,1218.0,1275.0,1
8.465,1218.0,1290.0,1
8.485,1216.0,1271.0,1
8.505,1233.0,1273.0,1
8.525,1233.0,1276.0,1
8.545,1234.0,1291.0,1
8.565,1231.0,1273.0,1
8.585,1233.0,1274.0,1
8.605,1219.0,1275.0,1
8.625,1233.0,1259.0,1
8.646,1216.0,1258.0,1
8.666,1218.0,1260.0,1
8.686,1219.0,1260.0,1
8.706,1218.0,1259.0,1
8.726,1223.0,1275.0,1
8.746,1218.0,1260.0,1
8.767,1219.0,1260.0,1
8.787,1219.0,1258.0,1
8.807,1217.0,1258.0,1
8.827,1218.0,1260.0,1
8.847,1218.0,1258.0,1
8.867,1217.0,1258.0,1
8.887,1218.0,1260.0,1
8.907,1234.0,1275.0,1
8.927,1233.0,1289.0,1
8.948,1236.0,1298.0,1
8.968,1218.0,1290.0,1
8.988,1234.0,1291.0,1
9.008,1233.0,1296.0,1
9.028,1233.0,1286.0,1
9.048,1234.0,1275.0,1
9.068,1219.0,1275.0,1
9.088,1217.0,1272.0,1
9.108,1233.0,1274.0,1
9.128,1234.0,1289.0,1
9.148,1233.0,1306.0,1
9.168,1217.0,1287.0,1
9.189,1233.0,1290.0,1
9.209,1233.0,1291.0,1
9.229,1239.0,1286.0,1
9.249,1231.0,1288.0,1
9.269,1233.0,1291.0,1
9.289,1234.0,1291.0,1
9.309,1233.0,1288.0,1
9.329,1231.0,1289.0,1
9.349,1233.0,1291.0,1
9.369,1234.0,1287.0,1
9.389,1232.0,1288.0,1
9.409,1233.0,1290.0,1
9.43,1234.0,1290.0,1
9.45,1234.0,1288.0,1
9.47,1232.0,1289.0,1
9.49,1233.0,1290.0,1
9.51,1233.0,1291.0,1
9.53,1234.0,1289.0,1
9.55,1232.0,1274.0,1
9.57,1233.0,1290.0,1
9.59,1234.0,1291.0,1
9.61,1239.0,1274.0,1
9.63,1231.0,1289.0,1
9.65,1233.0,1290.0,1
9.671,1234.0,1289.0,1
9.691,1217.0,1289.0,1
9.711,1238.0,1275.0,1
9.731,1233.0,1275.0,1
9.751,1234.0,1284.0,1
9.771,1233.0,1277.0,1
9.791,1233.0,1276.0,1
9.811,1233.0,1290.0,1
9.831,1234.0,1286.0,1
9.851,1233.0,1288.0,1
9.871,1233.0,1290.0,1
9.891,1234.0,1286.0,1
9.912,1234.0,1288.0,1
9.932,1218.0,1290.0,1
9.952,1218.0,1290.0,1
9.972,1234.0,1288.0,1
9.992,1232.0,1289.0,1
10.012,1232.0,1290.0,1
10.032,1233.0,1291.0,1
10.052,1234.0,1288.0,1
10.072,1232.0,1299.0,1
10.093,1232.0,1291.0,1
10.113,1234.0,1290.0,1
10.133,1234.0,1305.0,1
10.153,1232.0,1289.0,1
10.173,1232.0,1290.0,1
10.193,1218.0,1289.0,1
10.213,1234.0,1286.0,1
10.233,1232.0,1290.0,1
10.253,1232.0,1291.0,1
10.273,1234.0,1286.0,1
10.294,1234.0,1288.0,1
10.314,1224.0,1290.0,1
10.334,1218.0,1291.0,1
10.354,1234.0,1288.0,1
10.374,1233.0,1289.0,1
10.394,1238.0,1290.0,1
10.414,1234.0,1273.0,1
10.434,1235.0,1274.0,1
10.454,1218.0,1290.0,1
10.474,1239.0,1290.0,1
10.495,1234.0,1274.0,1
10.515,1233.0,1290.0,1
10.535,1233.0,1275.0,1
10.555,1217.0,1275.0,1
10.575,1218.0,1274.0,1
10.595,1219.0,1273.0,1
10.615,1217.0,1275.0,1
10.635,1233.0,1275.0,1
