t,left,right,diff,valid
4.607,32.0,20.0,12.0,1
4.627,17.0,20.0,-3.0,1
4.647,52.0,21.0,31.0,1
4.667,16.0,20.0,-4.0,1
4.688,46.0,20.0,26.0,1
4.708,215.0,20.0,195.0,1
4.728,26.0,32.0,-6.0,1
4.748,17.0,20.0,-3.0,1
4.768,41.0,20.0,21.0,1
4.788,38.0,20.0,18.0,1
4.808,84.0,19.0,65.0,1
4.828,17.0,19.0,-2.0,1
4.848,24.0,20.0,4.0,1
4.869,17.0,20.0,-3.0,1
4.889,17.0,21.0,-4.0,1
4.909,266.0,20.0,246.0,1
4.929,85.0,22.0,63.0,1
4.949,169.0,20.0,149.0,1
4.969,17.0,20.0,-3.0,1
4.989,17.0,20.0,-3.0,1
5.009,52.0,19.0,33.0,1
5.03,16.0,22.0,-6.0,1
5.05,42.0,35.0,7.0,1
5.07,19.0,30.0,-11.0,1
5.09,26.0,21.0,5.0,1
5.11,17.0,20.0,-3.0,1
5.13,52.0,21.0,31.0,1
5.15,69.0,22.0,47.0,1
5.17,233.0,20.0,213.0,1
5.19,26.0,19.0,7.0,1
5.21,25.0,20.0,5.0,1
5.231,17.0,20.0,-3.0,1
5.251,42.0,19.0,23.0,1
5.271,85.0,21.0,64.0,1
5.291,86.0,21.0,65.0,1
5.311,26.0,21.0,5.0,1
5.331,18.0,20.0,-2.0,1
5.351,17.0,20.0,-3.0,1
5.371,41.0,33.0,8.0,1
5.391,281.0,30.0,251.0,1
5.411,60.0,20.0,40.0,1
5.432,17.0,21.0,-4.0,1
5.452,16.0,20.0,-4.0,1
5.472,19.0,20.0,-1.0,1
5.492,41.0,19.0,22.0,1
5.512,17.0,20.0,-3.0,1
5.532,216.0,21.0,195.0,1
5.552,26.0,20.0,6.0,1
5.572,26.0,20.0,6.0,1
5.592,16.0,27.0,-11.0,1
5.612,17.0,20.0,-3.0,1
5.632,52.0,20.0,32.0,1
5.652,200.0,20.0,180.0,1
5.672,19.0,20.0,-1.0,1
5.693,17.0,20.0,-3.0,1
5.713,51.0,20.0,31.0,1
5.733,68.0,20.0,48.0,1
5.753,83.0,20.0,63.0,1
5.773,83.0,20.0,63.0,1
5.793,17.0,21.0,-4.0,1
5.813,16.0,21.0,-5.0,1
5.833,17.0,20.0,-3.0,1
5.853,67.0,20.0,47.0,1
5.873,84.0,20.0,64.0,1
5.894,25.0,20.0,5.0,1
5.914,23.0,20.0,3.0,1
5.934,17.0,20.0,-3.0,1
5.954,18.0,20.0,-2.0,1
5.974,84.0,20.0,64.0,1
5.994,84.0,19.0,65.0,1
6.014,99.0,20.0,79.0,1
6.034,32.0,20.0,12.0,1
6.054,16.0,20.0,-4.0,1
6.075,32.0,20.0,12.0,1
6.095,17.0,20.0,-3.0,1
6.115,116.0,20.0,96.0,1
6.135,67.0,20.0,47.0,1
6.155,17.0,20.0,-3.0,1
6.175,51.0,20.0,31.0,1
6.195,51.0,20.0,31.0,1
6.215,51.0,21.0,30.0,1
6.235,26.0,20.0,6.0,1
6.255,17.0,20.0,-3.0,1
6.276,16.0,18.0,-2.0,1
6.296,67.0,20.0,47.0,1
6.316,33.0,20.0,13.0,1
6.336,182.0,20.0,162.0,1
6.356,32.0,20.0,12.0,1
6.376,17.0,19.0,-2.0,1
6.396,24.0,20.0,4.0,1
6.416,17.0,20.0,-3.0,1
6.436,41.0,20.0,21.0,1
6.457,101.0,20.0,81.0,1
6.477,17.0,20.0,-3.0,1
6.497,17.0,26.0,-9.0,1
6.517,51.0,19.0,32.0,1
6.537,16.0,19.0,-3.0,1
6.557,51.0,20.0,31.0,1
6.577,118.0,20.0,98.0,1
6.597,43.0,20.0,23.0,1
6.617,16.0,20.0,-4.0,1
