t,left,right,diff,valid
2.034,234.0,21.0,213.0,1
2.054,217.0,19.0,198.0,1
2.074,215.0,20.0,195.0,1
2.094,149.0,21.0,128.0,1
2.114,183.0,20.0,163.0,1
2.134,17.0,20.0,-3.0,1
2.155,234.0,20.0,214.0,1
2.175,150.0,20.0,130.0,1
2.195,215.0,20.0,195.0,1
2.215,184.0,20.0,164.0,1
2.235,544.0,18.0,526.0,1
2.255,150.0,27.0,123.0,1
2.275,281.0,20.0,261.0,1
2.295,217.0,20.0,197.0,1
2.315,16.0,20.0,-4.0,1
2.336,184.0,20.0,164.0,1
2.356,183.0,21.0,162.0,1
2.376,183.0,21.0,162.0,1
2.396,216.0,20.0,196.0,1
2.416,250.0,21.0,229.0,1
2.436,167.0,21.0,146.0,1
2.456,183.0,21.0,162.0,1
2.476,185.0,20.0,165.0,1
2.496,216.0,20.0,196.0,1
2.517,216.0,20.0,196.0,1
2.537,216.0,20.0,196.0,1
2.557,183.0,20.0,163.0,1
2.577,184.0,21.0,163.0,1
2.597,41.0,34.0,7.0,1
2.617,210.0,30.0,180.0,1
2.637,493.0,20.0,473.0,1
2.657,510.0,20.0,490.0,1
2.677,167.0,20.0,147.0,1
2.697,232.0,21.0,211.0,1
2.718,83.0,19.0,64.0,1
2.738,18.0,21.0,-3.0,1
2.758,216.0,20.0,196.0,1
2.778,16.0,20.0,-4.0,1
2.798,151.0,20.0,131.0,1
2.818,475.0,21.0,454.0,1
2.838,544.0,19.0,525.0,1
2.858,233.0,21.0,212.0,1
2.878,233.0,20.0,213.0,1
2.898,199.0,20.0,179.0,1
2.919,26.0,20.0,6.0,1
2.939,184.0,20.0,164.0,1
2.959,168.0,21.0,147.0,1
2.979,236.0,20.0,216.0,1
2.999,215.0,19.0,196.0,1
3.019,53.0,30.0,23.0,1
3.039,167.0,20.0,147.0,1
3.059,265.0,20.0,245.0,1
3.079,167.0,20.0,147.0,1
3.1,217.0,20.0,197.0,1
3.12,250.0,20.0,230.0,1
3.14,134.0,20.0,114.0,1
3.16,182.0,20.0,162.0,1
3.18,17.0,20.0,-3.0,1
3.2,33.0,19.0,14.0,1
3.22,216.0,21.0,195.0,1
3.24,176.0,20.0,156.0,1
3.26,149.0,20.0,129.0,1
3.28,183.0,20.0,163.0,1
3.301,379.0,20.0,359.0,1
3.321,216.0,20.0,196.0,1
3.341,224.0,19.0,205.0,1
3.361,165.0,21.0,144.0,1
3.381,16.0,29.0,-13.0,1
3.401,183.0,20.0,163.0,1
3.421,362.0,20.0,342.0,1
3.441,241.0,24.0,217.0,1
3.461,216.0,20.0,196.0,1
3.482,167.0,21.0,146.0,1
3.502,166.0,20.0,146.0,1
3.522,281.0,20.0,261.0,1
3.542,233.0,20.0,213.0,1
3.562,217.0,20.0,197.0,1
3.582,215.0,20.0,195.0,1
3.602,134.0,20.0,114.0,1
3.622,167.0,20.0,147.0,1
3.642,183.0,21.0,162.0,1
3.663,117.0,20.0,97.0,1
3.683,216.0,20.0,196.0,1
3.703,445.0,20.0,425.0,1
3.723,592.0,21.0,571.0,1
3.743,183.0,19.0,164.0,1
3.763,298.0,20.0,278.0,1
3.783,117.0,22.0,95.0,1
3.803,233.0,20.0,213.0,1
3.823,217.0,21.0,196.0,1
3.844,17.0,21.0,-4.0,1
3.864,174.0,19.0,155.0,1
3.884,476.0,30.0,446.0,1
3.904,346.0,20.0,326.0,1
3.924,217.0,20.0,197.0,1
3.944,216.0,20.0,196.0,1
3.964,158.0,20.0,138.0,1
3.984,183.0,20.0,163.0,1
4.004,184.0,20.0,164.0,1
4.025,234.0,20.0,214.0,1
4.045,232.0,20.0,212.0,1
4.065,125.0,21.0,104.0,1
4.085,17.0,21.0,-4.0,1
4.105,168.0,20.0,148.0,1
4.125,410.0,21.0,389.0,1
4.145,234.0,20.0,214.0,1
4.165,217.0,20.0,197.0,1
4.185,428.0,20.0,408.0,1
4.206,117.0,21.0,96.0,1
4.226,225.0,20.0,205.0,1
4.246,17.0,20.0,-3.0,1
4.266,16.0,20.0,-4.0,1
4.286,201.0,20.0,181.0,1
4.306,149.0,21.0,128.0,1
4.326,184.0,26.0,158.0,1
4.346,168.0,21.0,147.0,1
4.367,234.0,21.0,213.0,1
4.387,226.0,21.0,205.0,1
4.407,216.0,20.0,196.0,1
4.427,183.0,20.0,163.0,1
4.447,185.0,21.0,164.0,1
4.467,184.0,20.0,164.0,1
4.487,184.0,21.0,163.0,1
4.507,232.0,20.0,212.0,1
4.527,217.0,19.0,198.0,1
4.548,102.0,20.0,82.0,1
4.568,183.0,20.0,163.0,1
4.588,565.0,20.0,545.0,1
4.608,167.0,21.0,146.0,1
4.628,199.0,20.0,179.0,1
4.648,217.0,23.0,194.0,1
4.668,16.0,20.0,-4.0,1
4.688,170.0,22.0,148.0,1
4.708,168.0,21.0,147.0,1
4.728,330.0,20.0,310.0,1
4.749,221.0,32.0,189.0,1
4.769,542.0,20.0,522.0,1
4.789,428.0,20.0,408.0,1
4.809,183.0,21.0,162.0,1
4.829,184.0,20.0,164.0,1
4.849,188.0,20.0,168.0,1
4.869,216.0,20.0,196.0,1
4.889,150.0,20.0,130.0,1
4.909,233.0,20.0,213.0,1
4.93,183.0,20.0,163.0,1
4.95,188.0,20.0,168.0,1
4.97,134.0,20.0,114.0,1
4.99,217.0,21.0,196.0,1
5.01,323.0,20.0,303.0,1
5.03,182.0,20.0,162.0,1
5.05,460.0,18.0,442.0,1
5.07,249.0,20.0,229.0,1
5.09,200.0,22.0,178.0,1
5.111,223.0,21.0,202.0,1
5.131,17.0,21.0,-4.0,1
5.151,17.0,20.0,-3.0,1
5.171,184.0,20.0,164.0,1
5.191,347.0,32.0,315.0,1
5.211,215.0,25.0,190.0,1
5.231,185.0,32.0,153.0,1
5.251,411.0,19.0,392.0,1
5.272,167.0,20.0,147.0,1
5.292,183.0,20.0,163.0,1
5.312,41.0,20.0,21.0,1
5.333,33.0,21.0,12.0,1
5.353,218.0,20.0,198.0,1
5.373,347.0,20.0,327.0,1
5.393,184.0,20.0,164.0,1
5.413,185.0,21.0,164.0,1
5.433,235.0,21.0,214.0,1
5.453,216.0,20.0,196.0,1
5.474,315.0,21.0,294.0,1
5.494,219.0,21.0,198.0,1
